Nome Competição,ID Competição
Central and South American Championship 2022,2
Central and South American Championship 2023,3
European Championship 2021,4
European Championship 2022,5
European Championship 2023,6
Semaine Olympique Francaise De Voile 2015,32
Semaine Olympique Francaise De Voile 2016,31
Semaine Olympique Francaise De Voile 2022,7
Semaine Olympique Francaise De Voile 2023,8
Trofeo S.A.R Princesa Sofia 2015,30
Trofeo S.A.R Princesa Sofia 2016,29
Trofeo S.A.R Princesa Sofia 2019,33
Trofeo S.A.R Princesa Sofia 2022,9
Trofeo S.A.R Princesa Sofia 2023,10
World Championship 2021,11
World Championship 2022,12
World Championship 2023,13
World Championship 2015,19
World Championship 2016,18
World Championship 2017,17
World Championship 2019,15
World Championship 2020,14
Semaine Olympique Francaise De Voile 2018,25
Semaine Olympique Francaise De Voile 2017,26
World Championship 2018,16
Central and South American Championship 2021,1
Trofeo S.A.R Princesa Sofia 2018,27
Trofeo S.A.R Princesa Sofia 2017,28
European Championship 2016,24
European Championship 2020,20
European Championship 2017,23
European Championship 2018,22