,rating,ranking
"IDA MARIE BAAD NIELSEN, MARIE THUSGAARD OLSEN",(0.16560478722269478+0j),1
"JULIE BOSSARD, AUDE COMPAN",(0.13071319859521965+0.04617314567588498j),2
"ERIN RAFUSE, DANIELLE BOYD",(0.13071319859521965-0.04617314567588498j),3
"MAIKEN FOGHT SCHUTT, ANNE-JULIE SCHUTT",(0.12467544705739081+0j),4
"ALEXANDRA MALONEY, MOLLY MEECH",(0.10995422087446431+0.06349696482636594j),5
"FRANCESCA CLAPCICH, GIULIA CONTI",(0.10995422087446431-0.06349696482636594j),6
"ALICE MOSS, AMANDA LJUNGGREN",(0.0948546132217724+0j),7
"ODILE VAN AANHOLT, CECILE JANMAAT",(0.09335499634966543+0.011564105399441428j),8
"LILY RICHARDSON, MATILDA RICHARDSON",(0.09335499634966543-0.011564105399441428j),9
"AMELIA STABBACK, CAITLIN ELKS",(0.08765968612888438+0j),10
"OLIVIA PRICE, EVIE HASELDINE",(0.0875254771064502+0.042132458061015905j),11
"TAMARA ECHEGOYEN, PAULA BARCELO",(0.0875254771064502-0.042132458061015905j),12
"MATHILDE LOVADINA, ALBANE DUBOIS",(0.08552111162997678+0.012698739164855782j),13
"MATHILDE LOVADINA, AUDE COMPAN",(0.08552111162997678-0.012698739164855782j),14
"HELEN PAIS, HELEN AUSMAN",(0.06865107522314448+0.0665299467606373j),15
"DEBBIE CAPOZZI, MAGGIE SHEA",(0.06865107522314448-0.0665299467606373j),16
"LAURA SCHOFEGGER, LISA FARTHOFER",(0.06263987838526723+0.011032911259270355j),17
"WILLEMIJN OFFERMAN, ELISE RUYTER",(0.06263987838526723-0.011032911259270355j),18
"PAULA VAN WIERINGEN, ELENA BARRIO GARCIA",(0.05992049146442347+0j),19
"PAULA VAN WIERINGEN MASSANET, JORIEN JULIA HIN",(0.05956983324539778+0j),20
"ZOFIA BURSKA, SARA TKADLECOVA",(0.05660451757464136+0.009119146508944081j),21
"VARSHA GAUTHAM, SWETA SHERVEGAR",(0.05660451757464136-0.009119146508944081j),22
"JOSEFINE NOJGAARD, ESTHER BOJSEN-MOLLER",(0.05656089122795027+0.021086003773372237j),23
"NADINE BOEHM, LENA WEISSKICHEL",(0.05656089122795027-0.021086003773372237j),24
"LAURA SCHOFEGGER, ANNA BOUSTANI",(0.05516171294324462+0.019227640638624817j),25
"ARANTZA GUMUCIO, BEGONA GUMUCIO",(0.05516171294324462-0.019227640638624817j),26
"FLORINE BRAMERVAER, EMMA SIEWERS",(0.05461026772849855+0.00652393549616873j),27
"ARIANNA GARISTO, VIRGINIA GARISTO",(0.05461026772849855-0.00652393549616873j),28
"KATHARINA SCHWACHHOFER, ADRIANA BAIRD",(0.05312018917785776+0j),29
"FRANCESCA BERGAMO, ALICE SINNO",(0.05279416463079515+0.04571208729077469j),30
"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",(0.05279416463079515-0.04571208729077469j),31
"SOPHIE STEINLEIN, BENTE BATZING",(0.05245902681056649+0.019035841140469262j),32
"SILVIA SICOURI, ALICE SINNO",(0.05245902681056649-0.019035841140469262j),33
"LOUIS CHAMBET, ENZO LOBRY",(0.04795895327661218+0.022136579601873298j),34
"LUCY WILMOT, ERIKA REINEKE",(0.04795895327661218-0.022136579601873298j),35
"ALICE MOSS, EBBA BERNTSSON",(0.0479323356915694+0j),36
"RAGNA AGERUP, MAIA AGERUP",(0.04737401332069609+0.03226124478463999j),37
"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",(0.04737401332069609-0.03226124478463999j),38
"RONJA GRONBLOM, VEERA HOKKA",(0.04737056004813358+0j),39
"KIMBERLY LIM, CECILIA LOW",(0.04214898811890347+0.018013336678395532j),40
"OLIVIA PRICE, ELIZA SOLLY",(0.04214898811890347-0.018013336678395532j),41
"MARCELINA KORSZON, ZUZANNA MROZ",(0.039509663589875704+0.014719591588855805j),42
"DOMINIKA VADUROVA, SIMONA BOROSOVA",(0.039509663589875704-0.014719591588855805j),43
"WILLEMIJN OFFERMAN, JUDITH ENGBERTS",(0.038584992997530716+0.04902660333219111j),44
"KATLIN TAMMISTE, ANNA MARIA SEPP",(0.038584992997530716-0.04902660333219111j),45
"MATHILDE LOVADINA, MARINE RIOU",(0.038306106436858924+0.042375253088755345j),46
"ERICA DAWSON, ELLIE COPELAND",(0.038306106436858924-0.042375253088755345j),47
"RINKO GOTO, MANASE ICHIHASHI",(0.03777629868075917+0.00825577612488597j),48
"ANASTASIIA MOGILNAIA, YANA STOKOLESOVA",(0.03777629868075917-0.00825577612488597j),49
"HANNAH BRISTOW, EMILY COVELL",(0.03513354234827213+0.01476785274871173j),50
"ANASTASIA SHCHEGLOVA, LIUDMILA DMITRIEVA",(0.03513354234827213-0.01476785274871173j),51
"CATHERINE BARTELHEIMER, INGA-MARIE HOFMANN",(0.03444131008827461+0.012822452712068324j),52
"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",(0.03444131008827461-0.012822452712068324j),53
"QUINLAN WILSON, ROMAIN SCREVE",(0.03352879675845546+0.005604658967094469j),54
"LARA GRANIER, AMELIE RIOU",(0.03352879675845546-0.005604658967094469j),55
"ELEANOR KEERS, JESSICA JOBSON",(0.03323077447811844+0.0012024949360568047j),56
"VICTORIA PAYNE, ALICE MASTERMAN",(0.03323077447811844-0.0012024949360568047j),57
"SOPHIE MOSEGAARD, FIONA SCHARER",(0.0331096574098768+0.03918660878356641j),58
"BRICE YRIEIX, ALBANE DUBOIS",(0.0331096574098768-0.03918660878356641j),59
"GRISELDA KHNG, AGUSTINA BARBUTO",(0.031491421595216784+0.016648744693794973j),60
"SOPHIE STEINLEIN, CLARA BORLINGHAUS",(0.031491421595216784-0.016648744693794973j),61
"MARIJA ANDELA DE MICHELI VITTURI, MIHAELA ZJENA DE MICHELI VITTURI",(0.029832675516894624+0.017744568129317073j),62
"ARIELLE MORGAN, HEATHER MYATT",(0.029832675516894624-0.017744568129317073j),63
"KLARA UTTERSTROM, AMANDA LJUNGGREN",(0.029695952782427735+0.009951309784681457j),64
"CARLOTA HERNANDEZ GARCIA, MARIA TERESA ALONSO GONZALEZ-SOLLA",(0.029695952782427735-0.009951309784681457j),65
"SAAR TAMIR, NOYA BAR AM",(0.02888926770608135+0.050876078680289274j),66
"ERIN MC ILWAINE, ELLIE CUNNANE",(0.02888926770608135-0.050876078680289274j),67
"KATRINE SCHMIDT, ELLEN NIELSEN",(0.028608314980169598+0.014652345443256078j),68
"JULIA GROSS, SARAH AYTON",(0.028608314980169598-0.014652345443256078j),69
"ALEXANDRA MALONEY, OLIVIA HOBBS",(0.02835560178587312+0.05834682388470319j),70
"PIA DAHL ANDERSEN, NORA EDLAND",(0.02835560178587312-0.05834682388470319j),71
"ALICIA FRAS SAMSON, ELENA BARRIO GARCIA",(0.027241278945905622+0.029752836971880626j),72
"HARSHITA TOMAR, SWETA SHERVEGAR",(0.027241278945905622-0.029752836971880626j),73
"LAURA SCHOEFEGGER, ELSA LOVREK",(0.026776490931066467+0.05806944208042154j),74
"CECILIA JONSSON, CECILIA JONSSON",(0.026776490931066467-0.05806944208042154j),75
"SARAH ROECK, LEA TESSA EINBRODT",(0.02666742851429176+0.04644349195900166j),76
"ANN-KRISTIN WEDEMEYER, PIA SOPHIE WEDEMEYER",(0.02666742851429176-0.04644349195900166j),77
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",(0.026522345483290695+0.020909981544938637j),78
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",(0.026522345483290695-0.020909981544938637j),79
"VILMA BOBECK, REBECCA NETZLER",(0.02593182766968367+0.03914474701036745j),80
"ODILE VAN AANHOLT, ELISE RUYTER",(0.02593182766968367-0.03914474701036745j),81
"CARLOTTA OMARI, MATILDA DISTEFANO",(0.025224066451279475+0.012222234376199867j),82
"AMELIA STABBACK, ELLA CLARK",(0.025224066451279475-0.012222234376199867j),83
"ALICE MOSS, HANNA JOHNSSON",(0.024025612444370535+0j),84
"XIAOYU HU, XUEBIN YU",(0.023879342959719826+0.02242078181285735j),85
"ELEANOR KEERS, SOPHIE AINSWORTH",(0.023879342959719826-0.02242078181285735j),86
"JULIA GROSS, HANNA KLINGA",(0.023743012882258885+0.011390859971931856j),87
"JOHANNE SCHMIDT, ANDREA SCHMIDT",(0.023743012882258885-0.011390859971931856j),88
"CLARA SCHEIWILLER, VIOLETTE LEMERCIER",(0.023396631530141963+0.03152685827832979j),89
"JULIA HENRIKSSON, CAROLINE PETTERSSON",(0.023396631530141963-0.03152685827832979j),90
"PAULA SCHUTZE, LILLE JONAS",(0.02132965691964834+0.042561725206939335j),91
"SVEA KARSENBARG, ELISE DE RUIJTER",(0.02132965691964834-0.042561725206939335j),92
"MONIQUE VENNIS-OZANNE, HANNAH MORRIS",(0.021203139750857556+0.0291752288851425j),93
"FEMKE VAN DEN BERG, EMMA SIEWERS",(0.021203139750857556-0.0291752288851425j),94
"PATRICIA SUAREZ, MARIA TERESA ALONSO",(0.020901029177705026+0.05139029797473228j),95
"MADELEINE ZIELINSKA, NADIA ZIELINSKA",(0.020901029177705026-0.05139029797473228j),96
"FRANCESCA BERGAMO, JANA GERMANI",(0.020760834825549655+0.034306328186584835j),97
"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",(0.020760834825549655-0.034306328186584835j),98
"LISA MARIA RAUSCH, LILLE JONAS",(0.01942494463738723+0.0011054213017425193j),99
"TATE HOWELL, ADRIANNA BAIRD",(0.01942494463738723-0.0011054213017425193j),100
"FREYA BLACK, SASKIA TIDEY",(0.019103064297950865+0.05282160827073497j),101
"CHARLOTTE DOBSON, SOPHIE AINSWORTH",(0.019103064297950865-0.05282160827073497j),102
"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",(0.018544100748865904+0.06286663384684561j),103
"CHIKA HATAE, HIROKA ITAKURA",(0.018544100748865904-0.06286663384684561j),104
"SIRRE KRONLOF, SELMA VALJUS",(0.01843607335464134+0.006851104008795346j),105
"HELENA WOLFF, LAURA ZEEBERG",(0.01843607335464134-0.006851104008795346j),106
"TAMARA ECHEGOYEN, BERTA BETANZOS",(0.017857691452038478+0j),107
"ISABELLE FELLOWS, ALICE MASTERMAN",(0.017767982985226836+0.00880649322119953j),108
"ANNA YAMAZAKI, N/A",(0.017767982985226836-0.00880649322119953j),109
"PATRICIA SUAREZ GONZALEZ, JULIA RITA ROMAN",(0.01597391073109566+0.003848044365231754j),110
"EWA ROMANIUK, SANDRA JANKOWIAK",(0.01597391073109566-0.003848044365231754j),111
"KATRINE BENDIX KROGH, CLARA ROSKJAER MOGELTOFT",(0.015498937892436745+0.08997126290227696j),112
"VERA TER HORST, JORIEN HIN",(0.015498937892436745-0.08997126290227696j),113
"MAYUMI ROLLER, AGUSTINA BARBUTO",(0.01460438394511615+0.0034847117310110726j),114
"WILLEMIJN OFFERMAN, EMMA SIEWERS",(0.01460438394511615-0.0034847117310110726j),115
"KEIKO MIYAGAWA, SENA TAKANO",(0.013497425074762032+0.049541474845229125j),116
"MARINA GARAU, CARLOTA GARCIA",(0.013497425074762032-0.049541474845229125j),117
"DEWI COUVERT, TESS WILSCHUT",(0.01212122410406866+0.027837852411180673j),118
"ANNA LUSCHAN, EVA-MARIA SCHIMAK",(0.01212122410406866-0.027837852411180673j),119
"WILLEMIJN OFFERMAN, CECILE JANMAAT",(0.012055050182263336+0.008188548874939342j),120
"DOMINIKA VADUROVA, SARA TKADLECOVA",(0.012055050182263336-0.008188548874939342j),121
"REBEKKA JOHANNESEN, SILJE CERUP-SIMONSEN",(0.011549515620038775+0.022108520434762285j),122
"MIHAELA ZJENA DE MICHELI VITTURI, MARIJA ANDELA DE MICHELI VITTURI",(0.011549515620038775-0.022108520434762285j),123
"RUFINA TAN, CONNIE RIVERRA TSEN",(0.010568238221272732+0.023511502363307j),124
"SAKI MATSUNAE, YURI SAITO",(0.010568238221272732-0.023511502363307j),125
"SVEA KARSENBARG, CECILE JANMAAT",(0.01050924217507321+0.042266542678639066j),126
"ANN KRISTIN WEDEMEYER, LEONIE MEYER",(0.01050924217507321-0.042266542678639066j),127
"KATRINE BENDIX KROGH, CHRISTINA ANDERSEN",(0.010160041942043821+0.009460387190304264j),128
"GENEVIEVE TULLOCH, MAGGIE SHEA",(0.010160041942043821-0.009460387190304264j),129
"ALICIA FRAS, CLARISSE BAISSAC",(0.009833757570704729+0.015842500205904664j),130
"MARLIES SCHOUTEN, MAUD LODEWIJK",(0.009833757570704729-0.015842500205904664j),131
"TESS LLOYD, JAIME RYAN",(0.009514108490634708+0.014887007627660641j),132
"SINEM KURTBAY, SILJA KANERVA",(0.009514108490634708-0.014887007627660641j),133
"ANNA TOBIAS, PARIS HENKEN",(0.00945445616739875+0.008475416806709999j),134
"GALEN RICHARDSON, AIDAN CHIU",(0.00945445616739875-0.008475416806709999j),135
"EMILY DELLENBAUGH, ELIZABETH BARRY",(0.008967398215882924+0.015411264107732265j),136
"SOPHIE WEGUELIN, ANNA BURNET",(0.008967398215882924-0.015411264107732265j),137
"NOORA RUSKOLA, MIKAELA WULFF",(0.008893571168144501+0.07032023807019502j),138
"KLARA WESTER, MALIN TENGSTROM",(0.008893571168144501-0.07032023807019502j),139
"REBEKKA JOHANNESEN, IBEN NIELSBY CHRISTENSEN",(0.008547134479021574+0.08615739087552698j),140
"ANNE SCHWARZ, MARTINA SCHWARZ",(0.008547134479021574-0.08615739087552698j),141
"AUDE COMPAN, SARAH STEYAERT",(0.008420296784566671+0.012699193564042028j),142
"ALEXANDRA TEN HOVE, MARIAH MILLEN",(0.008420296784566671-0.012699193564042028j),143
"ODILE VAN AANHOLT, PHILIPINE VAN AANHOLT",(0.007568835183327019+0.014005141766323387j),144
"MADELEINE MCLEAY, NATASHA BRYANT",(0.007568835183327019-0.014005141766323387j),145
"ALBANE DUBOIS, LILI SEBESI",(0.006001847091449083+0.00574121818690174j),146
"PATRICIA SUAREZ, MARIA CANTERO",(0.006001847091449083-0.00574121818690174j),147
"GABRIELA CZAPSKA, HANNA RAJCHERT",(0.004671788477628429+0.028018801491756787j),148
"AURA MIQUEL MOLONS, NURIA MIRO",(0.004671788477628429-0.028018801491756787j),149
"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",(0.0044921197780604175+0.09967498743203351j),150
"KATRINE BENDIX KROGH, LINE JUST EMSVANG",(0.0044921197780604175-0.09967498743203351j),151
"HANNAH STEADMAN, GABRIELLE RIZIKA",(0.00447100819223011+0.043750606078428185j),152
"KATE MACGREGOR, STEPHANIE ORTON",(0.00447100819223011-0.043750606078428185j),153
"MISAKI TANAKA, SERA NAGAMATSU",(0.0038616679667039886+0.021424993170809755j),154
"CLARA-SOFIA STAMMINGER DE MOURA, MANON PEYRE",(0.0038616679667039886-0.021424993170809755j),155
"RONJA GRONBLOM, SARA EHRNROOTH",(0.0026254627046335822+0.03936383678880224j),156
