CLASSE,CAMPEONATO,LINK
Ilca 7,World Championship 2023,https://thehague2023.sailing.org/results-centre/
Ilca 7,World Championship 2022,https://2022ilca7men.ilca-worlds.org/wp-content/uploads/sites/2/2022/06/ILCA7Men-FINAL.html
Ilca 7,World Championship 2021,https://velacat.sailti.com/ca/default/races/race-resultsall/text/2021-ilca-standard-men%27s-world-championship-trofeu-internacional-ciutat-barcelona-ca/menuaction/race
Ilca 7,World Championship 2020,https://sailing.laserinternational.org/regattauploads/2020/SM/2020_Std_Men_Worlds_Final_Results.htm
Ilca 7,World Championship 2019,https://sailing.laserinternational.org/regattauploads/2019/SM/2019_Std_Men_Worlds_Final_Results.htm
Ilca 7,World Championship 2018,https://aarhus2018.sailing.org/results.html
Ilca 7,World Championship 2017,https://sailing.laserinternational.org/regattauploads/2017/SM/2017_Std_Men_Worlds_Final_Results.htm
Ilca 7,World Championship 2016,https://sailing.laserinternational.org/regattauploads/2016/SM/2016_Std_Men_Worlds_Final_Results.htm
Ilca 7,World Championship 2015,https://sailing.laserinternational.org/regattauploads/2015/SM/2015_Std_Men_Worlds_Final_Results.htm
Ilca 7,European Championship 2023,https://2023-senior.eurilca-europeans.org/
Ilca 7,European Championship 2022,https://onb.eurilca.roms.ar/senioropeneuropeans2022/index.php/en/onb-results
Ilca 7,European Championship 2021,https://eurilca.org/2021-senior-europeans-results/
Ilca 7,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2022,https://2022.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2019,https://2019.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2018,https://2018.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2017,https://2017.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2016,https://2016.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Trofeo S.A.R Princesa Sofia 2015,https://2015.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 7,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
Ilca 7,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
Ilca 7,Semaine Olympique Francaise De Voile 2018,https://www.manage2sail.com/en-US/event/71c3d3a9-60fc-4465-816d-4b474c3ef34b#!/results?classId=f9177157-d702-4601-b6d2-1a12e644a0fb
Ilca 7,Semaine Olympique Francaise De Voile 2017,https://www.manage2sail.com/en-US/event/0adf7bcd-01d0-4214-a295-bb0b9136999e#!/results?classId=056dd04a-3fad-45f1-b9c2-894bdb176b43
Ilca 7,Semaine Olympique Francaise De Voile 2016,https://www.sailing.org/regatta/sailing-world-cup-hyeres?ref=FRA201604WEH
Ilca 7,Semaine Olympique Francaise De Voile 2015, https://www.sailing.org/regatta/isaf-sailing-world-cup-hyeres?ref=FRA201504HAL
Ilca 7,Central and South American Championship 2023,https://brasilca.org.br/wp-content/uploads/2023/02/32o-Centro-Sul-Americano-ILCA-7-Buenos-Aires-2023-1-4.pdf
Ilca 7,Central and South American Championship 2022,https://theclubspot.com/regatta/l9QBhozXZr/results
Ilca 7,Central and South American Championship 2021,https://www.icrj.com.br/iate/edn/calendario-edn.html?view=article&id=847:centro-sul-americano-ilca-2021&catid=46
Ilca 6,World Championship 2023,https://thehague2023.sailing.org/results-centre/
Ilca 6,World Championship 2022,https://2022ilca6.ilca-worlds.org/wp-content/uploads/sites/10/2022/10/Results-Women.html
Ilca 6,World Championship 2021,http://2021-radial.laser-worlds.com/wp-content/uploads/sites/19/2021/12/results-race-11-2021-ILCA-6-Womens-World-.pdf
Ilca 6,World Championship 2020,https://sailing.laserinternational.org/regattauploads/2020/RW/2020_Rdl_Women_Worlds_Final_Results.htm
Ilca 6,World Championship 2019,https://sailing.laserinternational.org/regattauploads/2019/RW/2019_Rdl_Women_Worlds_Final_Results.htm
Ilca 6,World Championship 2018,https://aarhus2018.sailing.org/results.html
Ilca 6,World Championship 2017,https://sailing.laserinternational.org/regattauploads/2017/RW/2017_Rdl_Women_Worlds_Final_Results.htm
Ilca 6,World Championship 2016,https://sailing.laserinternational.org/regattauploads/2016/RW/2016_Rdl_Women_Worlds_Final_Results.htm
Ilca 6,World Championship 2015,https://sailing.laserinternational.org/regattauploads/2015/RW/2015_Rdl_Women_Worlds_Final_Results.htm
Ilca 6,European Championship 2023,https://2023-senior.eurilca-europeans.org/
Ilca 6,European Championship 2022,https://onb.eurilca.roms.ar/senioropeneuropeans2022/index.php/en/onb-results
Ilca 6,European Championship 2021,https://eurilca.org/2021-senior-europeans-results/
Ilca 6,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2022,https://2022.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2019,https://2019.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2018,https://2018.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2017,https://2017.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2016,https://2016.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Trofeo S.A.R Princesa Sofia 2015,https://2015.trofeoprincesasofia.org/en/default/races/race-resultsall
Ilca 6,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
Ilca 6,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
Ilca 6,Semaine Olympique Francaise De Voile 2018,https://www.manage2sail.com/en-US/event/71c3d3a9-60fc-4465-816d-4b474c3ef34b#!/results?classId=f9177157-d702-4601-b6d2-1a12e644a0fb
Ilca 6,Semaine Olympique Francaise De Voile 2017,https://www.manage2sail.com/en-US/event/0adf7bcd-01d0-4214-a295-bb0b9136999e#!/results?classId=056dd04a-3fad-45f1-b9c2-894bdb176b43
Ilca 6,Semaine Olympique Francaise De Voile 2016,https://www.sailing.org/regatta/sailing-world-cup-hyeres?ref=FRA201604WEH
Ilca 6,Semaine Olympique Francaise De Voile 2015,https://www.sailing.org/regatta/isaf-sailing-world-cup-hyeres?ref=FRA201504HAL
Ilca 6,Central and South American Championship 2023,https://brasilca.org.br/wp-content/uploads/2023/02/26o-Centro-Sul-Americano-ILCA-6-Masc.-Fem.-Bueno-Aires-2023-1-4.pdf
Ilca 6,Central and South American Championship 2022,https://theclubspot.com/regatta/vmfzw2Rqsk/results
Ilca 6,Central and South American Championship 2021,https://www.icrj.com.br/iate/edn/calendario-edn.html?view=article&id=847:centro-sul-americano-ilca-2021&catid=46
IQFOIL Masc.,World Championship 2023,https://thehague2023.sailing.org/results-centre/
IQFOIL Masc.,World Championship 2022,https://iqworlds2022brest.sailti.com/en/default/races/race-resultsall
IQFOIL Masc.,World Championship 2021,https://filedn.com/lp10qwAOmmwFb3gmBWF0wyf/iQFoil/2021-WC-Men.htm
IQFOIL Masc.,European Championship 2023,https://iqeuropeans2023greece.sailti.com/en/default/races/race-resultsall
IQFOIL Masc.,European Championship 2022,https://iqeuropeans2022.sailti.com/en/default/races/race-resultsall
IQFOIL Masc.,European Championship 2021,https://iqfoilclass.org/europeans2021/
IQFOIL Masc.,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
IQFOIL Masc.,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
IQFOIL Masc.,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
IQFOIL Fem.,World Championship 2023,https://thehague2023.sailing.org/results-centre/
IQFOIL Fem.,World Championship 2022,https://iqworlds2022brest.sailti.com/en/default/races/race-resultsall
IQFOIL Fem.,World Championship 2021,https://filedn.com/lp10qwAOmmwFb3gmBWF0wyf/iQFoil/2021-WC-Women.htm
IQFOIL Fem.,European Championship 2023,https://iqeuropeans2023greece.sailti.com/en/default/races/race-resultsall
IQFOIL Fem.,European Championship 2022,https://iqeuropeans2022.sailti.com/en/default/races/race-resultsall
IQFOIL Fem.,European Championship 2021,https://www.sailnet.hr/iqfoilec2021/women/iqfoilec2021womenmedalrace.htm
IQFOIL Fem.,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
IQFOIL Fem.,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
IQFOIL Fem.,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
49er,World Championship 2023,https://thehague2023.sailing.org/results-centre/
49er,World Championship 2022,https://49er.org/events/2022-world-championship/#49erresults
49er,World Championship 2021,https://49er.org/events/2021-world-championship/#49erresults
49er,World Championship 2020,https://49er.org/events/2020-world-championship/
49er,World Championship 2019,https://www.manage2sail.com/en-US/event/41de110b-ec26-427d-81fb-be7807677326#!/results?classId=5c147b15-f550-4046-ab46-203d9390ddb7
49er,World Championship 2018,https://aarhus2018.sailing.org/results.html
49er,World Championship 2017,https://www.manage2sail.com/en-US/event/62eba3be-c8c0-40a0-8759-505c52e39579#!/results?classId=89dc12b0-2d91-4877-88b7-825038ac4036
49er,World Championship 2016,https://www.manage2sail.com/en-US/event/8845f1dc-a649-4880-bf22-abf02522e09a#!/results?classId=34d61158-9068-4d8f-9ff1-95140af60d43
49er,World Championship 2015,https://www.manage2sail.com/en-US/event/a261210d-3615-44c4-8adc-f309fc1923b4#!/results?classId=6accf2e2-7593-46df-b0dd-d2c41bcfa6cb
49er,European Championship 2022,https://www.sailing-aarhus.dk/2022-49er-49erfx-nacra-european-championship/
49er,European Championship 2021,https://49er.org/events/2021-european-championship/
49er,European Championship 2020,https://www.manage2sail.com/en-US/event/2020Euros#!/results?classId=e3c4eb48-f6ed-4ec7-b8ac-9f232ddea639
49er,European Championship 2018,https://49er.org/wp-content/uploads/2018/07/49er-1.pdf
49er,European Championship 2017,https://49er.org/wp-content/uploads/2016/10/49er-Results-Euros-Only.pdf
49er,European Championship 2016,https://www.manage2sail.com/en-US/event/9c432a79-a3b5-47aa-bb64-740bcb8d9f99#!/results?classId=b4f510d9-e46d-4641-a054-200fb82e8814
49er,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
49er,Trofeo S.A.R Princesa Sofia 2022,https://2022.trofeoprincesasofia.org/en/default/races/resultsajax/id/5271/idsc2r/15844/allResults/1/handicap
49er,Trofeo S.A.R Princesa Sofia 2019,https://2019.trofeoprincesasofia.org/en/default/races/resultsajax/id/2360/idsc2r/7496/allResults/1/handicap
49er,Trofeo S.A.R Princesa Sofia 2018,https://2018.trofeoprincesasofia.org/en/default/races/race-resultsall
49er,Trofeo S.A.R Princesa Sofia 2017,https://2017.trofeoprincesasofia.org/en/default/races/race-resultsall
49er,Trofeo S.A.R Princesa Sofia 2016,https://2016.trofeoprincesasofia.org/en/default/races/race-resultsall
49er,Trofeo S.A.R Princesa Sofia 2015,https://2015.trofeoprincesasofia.org/en/default/races/race-resultsall
49er,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
49er,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
49er,Semaine Olympique Francaise De Voile 2018,https://www.manage2sail.com/en-US/event/71c3d3a9-60fc-4465-816d-4b474c3ef34b#!/results?classId=6fb3dc02-c811-482b-92bf-3b70fbe49892
49er,Semaine Olympique Francaise De Voile 2017,https://www.manage2sail.com/en-US/event/0adf7bcd-01d0-4214-a295-bb0b9136999e#!/results?classId=7a9662de-4565-41e3-9008-4025d3177d5e
49er,Semaine Olympique Francaise De Voile 2016,https://www.sailing.org/regatta/sailing-world-cup-hyeres?ref=FRA201604WEH
49er,Semaine Olympique Francaise De Voile 2015,https://www.sailing.org/regatta/isaf-sailing-world-cup-hyeres?ref=FRA201504HAL
49erFX,World Championship 2023,https://thehague2023.sailing.org/results-centre/
49erFX,World Championship 2022,https://49er.org/events/2022-world-championship/#49erresults
49erFX,World Championship 2021,https://49er.org/events/2021-world-championship/#49erresults
49erFX,World Championship 2020,https://49er.org/events/2020-world-championship/
49erFX,World Championship 2019,https://www.manage2sail.com/en-US/event/41de110b-ec26-427d-81fb-be7807677326#!/results?classId=5c147b15-f550-4046-ab46-203d9390ddb7
49erFX,World Championship 2018,https://aarhus2018.sailing.org/results.html
49erFX,World Championship 2017,https://www.manage2sail.com/en-US/event/62eba3be-c8c0-40a0-8759-505c52e39579#!/results?classId=89dc12b0-2d91-4877-88b7-825038ac4036
49erFX,World Championship 2016,https://www.manage2sail.com/en-US/event/8845f1dc-a649-4880-bf22-abf02522e09a#!/results?classId=34d61158-9068-4d8f-9ff1-95140af60d43
49erFX,World Championship 2015,https://www.manage2sail.com/en-US/event/a261210d-3615-44c4-8adc-f309fc1923b4#!/results?classId=6accf2e2-7593-46df-b0dd-d2c41bcfa6cb
49erFX,European Championship 2022,https://www.sailing-aarhus.dk/2022-49er-49erfx-nacra-european-championship/
49erFX,European Championship 2021,https://49er.org/events/2021-european-championship/
49erFX,European Championship 2020,https://www.manage2sail.com/en-US/event/2020Euros#!/results?classId=e3c4eb48-f6ed-4ec7-b8ac-9f232ddea639
49erFX,European Championship 2018,https://49er.org/wp-content/uploads/2018/07/49erFX-1.pdf
49erFX,European Championship 2017,https://49er.org/wp-content/uploads/2016/10/49erFX-Results-Euros-Only.pdf
49erFX,European Championship 2016,https://www.manage2sail.com/en-US/event/9c432a79-a3b5-47aa-bb64-740bcb8d9f99#!/results?classId=b4f510d9-e46d-4641-a054-200fb82e8814
49erFX,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
49erFX,Trofeo S.A.R Princesa Sofia 2022,https://2022.trofeoprincesasofia.org/en/default/races/resultsajax/id/5271/idsc2r/15844/allResults/1/handicap
49erFX,Trofeo S.A.R Princesa Sofia 2019,https://2019.trofeoprincesasofia.org/en/default/races/resultsajax/id/2360/idsc2r/7496/allResults/1/handicap
49erFX,Trofeo S.A.R Princesa Sofia 2018,https://2018.trofeoprincesasofia.org/en/default/races/race-resultsall
49erFX,Trofeo S.A.R Princesa Sofia 2017,https://2017.trofeoprincesasofia.org/en/default/races/race-resultsall
49erFX,Trofeo S.A.R Princesa Sofia 2016,https://2016.trofeoprincesasofia.org/en/default/races/race-resultsall
49erFX,Trofeo S.A.R Princesa Sofia 2015,https://2015.trofeoprincesasofia.org/en/default/races/race-resultsall
49erFX,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
49erFX,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
49erFX,Semaine Olympique Francaise De Voile 2018,https://www.manage2sail.com/en-US/event/71c3d3a9-60fc-4465-816d-4b474c3ef34b#!/results?classId=6fb3dc02-c811-482b-92bf-3b70fbe49892
49erFX,Semaine Olympique Francaise De Voile 2017,https://www.manage2sail.com/en-US/event/0adf7bcd-01d0-4214-a295-bb0b9136999e#!/results?classId=7a9662de-4565-41e3-9008-4025d3177d5e
49erFX,Semaine Olympique Francaise De Voile 2016,https://www.sailing.org/regatta/sailing-world-cup-hyeres?ref=FRA201604WEH
49erFX,Semaine Olympique Francaise De Voile 2015,https://www.sailing.org/regatta/isaf-sailing-world-cup-hyeres?ref=FRA201504HAL
Nacra 17,World Championship 2023,https://thehague2023.sailing.org/results-centre/
Nacra 17,World Championship 2022,https://49er.org/events/2022-world-championship/#49erresults
Nacra 17,World Championship 2021,https://49er.org/events/2021-world-championship/#49erresults
Nacra 17,European Championship 2022,https://www.sailing-aarhus.dk/2022-49er-49erfx-nacra-european-championship/
Nacra 17,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
Nacra 17,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
Nacra 17,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
470,World Championship 2023,https://thehague2023.sailing.org/results-centre/
470,World Championship 2022,https://2022worlds.470.org/en/default/races/race-resultsall
470,European Championship 2023,https://2023europeans.470.org/en/default/races/race-resultsall
470,European Championship 2022,https://2022europeans.470.org/en/default/races/race-resultsall
470,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
470,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
470,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
Formula Kite Masc.,World Championship 2023,https://thehague2023.sailing.org/results-centre/
Formula Kite Masc.,World Championship 2022,https://www.formulakite.org/2022worlds
Formula Kite Masc.,World Championship 2021,https://www.formulakite.org/component/sppagebuilder/?view=page&id=10
Formula Kite Masc.,European Championship 2022,https://www.formulakite.org/2022europeans
Formula Kite Masc.,European Championship 2021,https://www.formulakite.org/sailwave/results/2021FKEuropeansMen.pdf
Formula Kite Masc.,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
Formula Kite Masc.,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
Formula Kite Masc.,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results
Formula Kite Fem.,World Championship 2023,https://thehague2023.sailing.org/results-centre/
Formula Kite Fem.,World Championship 2022,https://www.formulakite.org/2022worlds
Formula Kite Fem.,World Championship 2021,https://www.formulakite.org/component/sppagebuilder/?view=page&id=10
Formula Kite Fem.,European Championship 2022,https://www.formulakite.org/2022europeans
Formula Kite Fem.,European Championship 2021,https://www.formulakite.org/sailwave/results/2021FKEuropeansMen.pdf
Formula Kite Fem.,Trofeo S.A.R Princesa Sofia 2023,https://www.trofeoprincesasofia.org/en/default/races/race-resultsall
Formula Kite Fem.,Semaine Olympique Francaise De Voile 2023,https://sof.regatta.ffvoile.fr/en/default/races/race-resultsall
Formula Kite Fem.,Semaine Olympique Francaise De Voile 2022,https://sof.ffvoile.roms.ar/2022/index.php/en/onb-results